PlantletID,Openfield_Transfer_Date,Number,Location
SE201903_(162357C1/132383)_43,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_103,2020-09-03,1.0,Sendusu
SE201904_(162430C1/132419)_12,2020-09-03,2.0,Sendusu
SE201904_(162485C1/132614)_4,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_109,2020-09-03,1.0,Sendusu
SE201902_(162449C1/132494)_6,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_43,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_27,2020-09-03,1.0,Sendusu
SE201904_(162485C1/132614)_16,2020-09-03,1.0,Sendusu
SE201903_(162405C1/132571)_1,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_8,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_27,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_30,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_39,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_16,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_112,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_2,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_150,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_153,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_32,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_129,2020-09-03,1.0,Sendusu
SE201906_(162388C1/132533)_1,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_124,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_67,2020-09-03,1.0,Sendusu
SE201902_(162450C1/132447)_12,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_102,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_119,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_67,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_155,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_43,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_67,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_149,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_33,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_29,2020-09-03,1.0,Sendusu
SE201904_(162430C1/132419)_6,2020-09-03,1.0,Sendusu
SE201902_(162450C1/132447)_5,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_30,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_48,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_21,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_55,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_79,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_24,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_94,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_21,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_33,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_12,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_134,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_29,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_57,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_74,2020-09-03,1.0,Sendusu
SE201904_(162377C1/132361)_24,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_73,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_3,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_13,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_12,2020-09-03,2.0,Sendusu
SE201903_(163363C1/132604)_4,2020-09-03,2.0,Sendusu
SE201903_(162357C1/132383)_19,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_99,2020-09-03,1.0,Sendusu
SE201904_(162430C1/132419)_9,2020-09-03,1.0,Sendusu
SE201903_(162357C1/132383)_59,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_156,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_104,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_28,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_61,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_65,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_128,2020-09-03,2.0,Sendusu
SE201904_(162485C1/132614)_5,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_20,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_165,2020-09-03,2.0,Sendusu
SE201907_(162416C2/132332)_12,2020-09-03,2.0,Sendusu
SE201904_(162459C1/132361)_75,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_36,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_23,2020-09-03,1.0,Sendusu
SE201905_(162431C1/132332)_17,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_72,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_42,2020-09-03,2.0,Sendusu
SE201905_(162431C1/132332)_93,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_82,2020-09-03,2.0,Sendusu
SE201902_(162449C1/132494)_5,2020-09-03,1.0,Sendusu
SE201904_(162485C1/132614)_7,2020-09-03,1.0,Sendusu
SE201904_(162459C1/132361)_38,2020-09-03,2.0,Sendusu
SE201907_(162416C2/132332)_3,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_65,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_77,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_7,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_108,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_1,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_42,2020-09-04,2.0,Sendusu
SE201904_(162459C1/132361)_13,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_143,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_45,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_12,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_13,2020-09-04,2.0,Sendusu
SE201904_(163161C2/132412)_1,2020-09-04,1.0,Sendusu
SE201902_(162449C1/132494)_8,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_55,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_26,2020-09-04,2.0,Sendusu
SE201903_(162357C1/132383)_15,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_71,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_4,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_10,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_9,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_85,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_5,2020-09-04,1.0,Sendusu
SE201904_(162372C1/132696)_4,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_141,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_45,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_31,2020-09-04,2.0,Sendusu
SE201906_(162388C1/132533)_1,2020-09-04,2.0,Sendusu
SE201902_(162421C1/132608)_25,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_54,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_63,2020-09-04,1.0,Sendusu
SE201907_(162416C2/132332)_4,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_76,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_126,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_53,2020-09-04,2.0,Sendusu
SE201904_(162430C1/132419)_1,2020-09-04,2.0,Sendusu
SE201905_(162431C1/132332)_37,2020-09-04,2.0,Sendusu
SE201904_(162377C1/132361)_2,2020-09-04,2.0,Sendusu
SE201904_(162459C1/132361)_60,2020-09-04,1.0,Sendusu
SE201902_(162450C1/132447)_11,2020-09-04,2.0,Sendusu
SE201907_(162865C1/132329)_2,2020-09-04,1.0,Sendusu
SE201904_(162377C1/132361)_26,2020-09-04,1.0,Sendusu
SE201903_(162849C1/132373)_2,2020-09-04,2.0,Sendusu
SE201904_(162459C1/132361)_6,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_16,2020-09-04,2.0,Sendusu
SE201903_(162357C1/132383)_60,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_145,2020-09-04,1.0,Sendusu
SE201904_(162372C1/132696)_3,2020-09-04,1.0,Sendusu
SE201907_(162865C1/132329)_6,2020-09-04,1.0,Sendusu
SE201907_(163270C2/132692)_2,2020-09-04,1.0,Sendusu
SE201907_(163045C1/132358)_1,2020-09-04,2.0,Sendusu
SE201907_(162865C1/132329)_7,2020-09-04,2.0,Sendusu
SE201904_(162485C1/132614)_3,2020-09-04,1.0,Sendusu
