Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_4,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_40,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_41,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_42,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_43,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_44,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_45,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_46,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_47,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_48,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_49,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_5,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_50,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_51,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_52,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_53,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_54,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_55,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_56,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_57,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_58,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_59,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_6,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_60,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_61,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_62,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_63,2019-09-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_65,2019-09-16,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_66,2019-09-30,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_67,2019-10-11,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_7,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_8,2019-08-26,Sendusu
SE201903_(162357C1/132383),2019-08-27 09:15:44,SE201903_(162357C1/132383)_9,2019-08-26,Sendusu
SE201903_(162373C1/132466),2019-08-27 09:29:03,SE201903_(162373C1/132466)_1,2019-08-26,Sendusu
SE201903_(162373C1/132466),2019-08-27 09:29:03,SE201903_(162373C1/132466)_3,2019-09-11,Sendusu
SE201903_(162405C1/132571),2019-08-27 09:36:50,SE201903_(162405C1/132571)_1,2019-08-26,Sendusu
SE201903_(162405C1/132571),2019-08-27 09:36:50,SE201903_(162405C1/132571)_2,2019-08-26,Sendusu
SE201903_(162405C1/132571),2019-08-27 09:36:50,SE201903_(162405C1/132571)_3,2019-10-11,Sendusu
SE201903_(162824C1/132316),2019-09-06 06:19:06,SE201903_(162824C1/132316)_1,2019-09-02,Sendusu
SE201903_(162849C1/132373),2019-06-19 08:35:20,SE201903_(162849C1/132373)_1,2019-06-06,Sendusu
SE201903_(162849C1/132373),2019-06-19 08:35:20,SE201903_(162849C1/132373)_2,2019-06-06,Sendusu
SE201903_(162849C1/132373),2019-06-19 08:35:20,SE201903_(162849C1/132373)_3,2019-06-06,Sendusu
SE201903_(163325C1/132608),2019-07-24 06:53:52,SE201903_(163325C1/132608)_1,2019-07-23,Sendusu
SE201903_(163325C1/132608),2019-07-24 06:53:52,SE201903_(163325C1/132608)_2,2019-07-23,Sendusu
SE201903_(163325C1/132608),2019-07-24 06:53:52,SE201903_(163325C1/132608)_3,2019-08-15,Sendusu
SE201903_(163363C1/132604),2019-08-08 08:06:38,SE201903_(163363C1/132604)_1,2019-08-07,Sendusu
SE201903_(163363C1/132604),2019-08-08 08:06:38,SE201903_(163363C1/132604)_2,2019-08-26,Sendusu
SE201903_(163363C1/132604),2019-08-08 08:06:38,SE201903_(163363C1/132604)_4,2019-09-11,Sendusu
SE201903_(163382C1/132701),2019-08-08 08:00:43,SE201903_(163382C1/132701)_1,2019-08-07,Sendusu
