PlantletID,Weaning_2_Date,Number,Location
SE201905_(162431C1/132332)_18,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_6,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_21,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_67,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_33,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_27,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_24,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_79,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_43,2020-04-24,1.0,Sendusu
SE201812_(162435C1/132708)_3,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_94,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_36,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_44,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_17,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_77,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_72,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_4,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_7,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_9,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_23,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_10,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_75,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_85,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_8,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_39,2020-04-24,1.0,Sendusu
SE201903_(162357C1/132383)_27,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_28,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_34,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_149,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_61,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_30,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_72,2020-04-24,1.0,Sendusu
SE201905_(162431C1/132332)_16,2020-04-24,1.0,Sendusu
SE201904_(162459C1/132361)_12,2020-04-24,2.0,Sendusu
SE201905_(162431C1/132332)_2,2020-04-24,4.0,Sendusu
SE201905_(162431C1/132332)_104,2020-04-24,4.0,Sendusu
SE201905_(162431C1/132332)_165,2020-04-27,3.0,Sendusu
SE201904_(162485C1/132614)_5,2020-04-27,3.0,Sendusu
SE201904_(162485C1/132614)_11,2020-04-27,3.0,Sendusu
SE201903_(163382C1/132701)_1,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_96,2020-04-27,1.0,Sendusu
SE201904_(162459C1/132361)_42,2020-04-27,3.0,Sendusu
SE201902_(162449C1/132494)_5,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_20,2020-04-27,4.0,Sendusu
SE201905_(162431C1/132332)_93,2020-04-27,3.0,Sendusu
SE201904_(162459C1/132361)_82,2020-04-27,2.0,Sendusu
SE201907_(162416C2/132332)_12,2020-04-27,2.0,Sendusu
SE201904_(162485C1/132614)_7,2020-04-27,2.0,Sendusu
SE201905_(162431C1/132332)_5,2020-04-27,1.0,Sendusu
SE201905_(162431C1/132332)_53,2020-04-27,4.0,Sendusu
SE201905_(162431C1/132332)_62,2020-04-27,3.0,Sendusu
SE201905_(162431C1/132332)_126,2020-04-27,2.0,Sendusu
SE201904_(163161C2/132412)_1,2020-04-27,4.0,Sendusu
