PlantletID,Copies,Subculture_Date,Location
SE201905_(162431C1/132332)_128,5,2020-01-08,Sendusu
SE201904_(162430C1/132419)_12,5,2020-01-08,Sendusu
SE201905_(162431C1/132332)_20,4,2020-01-08,Sendusu
SE201902_(163152C1/132512)_2,2,2020-01-08,Sendusu
SE201904_(162459C1/132361)_63,5,2020-01-08,Sendusu
SE201905_(162431C1/132332)_84,4,2020-01-08,Sendusu
SE201904_(162459C1/132361)_15,4,2020-01-08,Sendusu
SE201903_(162357C1/132383)_57,5,2020-01-08,Sendusu
SE201904_(162459C1/132361)_53,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_98,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_49,6,2020-01-09,Sendusu
SE201905_(162431C1/132332)_100,4,2020-01-09,Sendusu
SE201903_(162357C1/132383)_58,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_31,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_141,4,2020-01-09,Sendusu
SE201904_(162377C1/132361)_17,2,2020-01-09,Sendusu
SE201904_(162459C1/132361)_19,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_106,4,2020-01-09,Sendusu
SE201903_(162357C1/132383)_22,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_58,2,2020-01-09,Sendusu
SE201905_(162431C1/132332)_26,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_25,2,2020-01-09,Sendusu
SE201904_(162377C1/132361)_16,3,2020-01-09,Sendusu
SE201902_(163238C1/132696)_2,1,2020-01-09,Sendusu
SE201905_(162431C1/132332)_53,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_163,6,2020-01-09,Sendusu
SE201903_(162405C1/132571)_3,3,2020-01-09,Sendusu
SE201901_(163002C1/132635)_1,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_167,2,2020-01-09,Sendusu
SE201905_(162431C1/132332)_91,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_107,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_50,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_139,2,2020-01-09,Sendusu
SE201904_(162459C1/132361)_81,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_162,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_73,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_165,3,2020-01-09,Sendusu
SE201905_(162431C1/132332)_76,4,2020-01-09,Sendusu
SE201902_(162450C1/132447)_11,5,2020-01-09,Sendusu
SE201905_(162431C1/132332)_134,5,2020-01-09,Sendusu
SE201903_(162357C1/132383)_60,4,2020-01-09,Sendusu
SE201905_(162431C1/132332)_71,3,2020-01-09,Sendusu
SE201904_(162459C1/132361)_22,5,2020-01-09,Sendusu
SE201904_(162377C1/132361)_26,4,2020-01-09,Sendusu
SE201904_(162377C1/132361)_29,1,2020-01-09,Sendusu
SE201904_(163161C2/132412)_1,4,2020-01-09,Sendusu
