Crossnumber,TrialName,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Number_of_Repeats,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Number_of_Embryo_Germinating,Germination_Date,Location
NM202103_(197204C2/164452),2018_MCHARE_HYBRID_NM,2018NMMH_NM276-3_B2R22C11Plot382,NM276-3,2,ITC1468-kahuti,NM2018_Kahuti_block_5_510,2021-03-10,1.0,,,,,,,,,Arusha
NM202103_(197291C2/196873),2018_MCHARE_HYBRID_NM,2018NMMH_NM237-8_B3R15C13Plot447,NM237-8,2,Mshare laini,2018NMMH_MshaleLaini_B3R16C14Plot484,2021-03-05,,2021-04-15,,,,,,,,Arusha
NM202103_(197345C1/164464),2018_MCHARE_HYBRID_NM,2018NMMH_T.1687-1_B1R6C4Plot114,T.1687-1,1,ITC1460-Ijihu_nkundu,NM2018_IjihuInkundu_block_4_447,2021-03-08,1.0,,,,,,,,,Arusha
NM202103_(197408C1/197220),2018_MCHARE_HYBRID_NM,2018NMMH_T.2728-19_B2R6C10Plot330,T.2728-19,1,ITC1468-kahuti,2018NMMH_ITC1468-kahuti_B2R18C9Plot306,2021-03-24,,,,,,,,,,Arusha
NM202103_(197430C1/164452),2018_MCHARE_HYBRID_NM,2018NMMH_T.2274-9_B2R10C11Plot370,T.2274-9,1,ITC1468-kahuti,NM2018_Kahuti_block_5_510,2021-03-01,2.0,,,,,,,,,Arusha
NM202103_(197454C2/164464),2018_MCHARE_HYBRID_NM,2018NMMH_NM276-3_B1R15C4Plot123,NM276-3,2,ITC1460-Ijihu_nkundu,NM2018_IjihuInkundu_block_4_447,2021-03-08,,,,,,,,,,Arusha
NM202103_(231241C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_ITC1455-MchareMlelembo_P72R3C1,ITC1455-Mchare Mlelembo,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-31,,,,,,,,,,Arusha
NM202103_(231245C1/161554),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P38R2C1,TT2,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot1,2021-03-31,,,,,,,,,,Arusha
NM202103_(231253C1/161484),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_Majimaji_P126R6C1,Majimaji,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot121,2021-03-10,,,,,,,,,,Arusha
NM202103_(231258C1/161578),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_TT2_P31R2C1,TT2,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-25,,,,,,,,,,Arusha
NM202103_(231298C1/161494),2020PollinationBlock_GWASBoders,2020PollinationblockGWASBoders_MuraruMlalu_P12R1C1,Muraru Mlalu,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot8,2021-03-18,1.0,,,,,,,,,Arusha
NM202103_(231421C1/161542),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P245,Mchare,1,ITC0966 Zebrina (GF),Males_ITC0966_Zebrina(GF)_r3c1_plot41,2021-03-08,,,,,,,,,,Arusha
NM202103_(231435C1/161536),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P556,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot123,2021-03-31,,,,,,,,,,Arusha
NM202103_(231456C1/161508),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P553,Mchare,1,SH 3217,Males_SH3217_r10c1_plot193,2021-03-12,2.0,,,,,,,,,Arusha
NM202103_(231534C1/161578),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P264,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-12,1.0,,,,,,,,,Arusha
NM202103_(231544C1/161590),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P184,Mchare,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot3,2021-03-04,1.0,,,,,,,,,Arusha
NM202103_(231603C1/161578),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P536,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-12,3.0,,,,,,,,,Arusha
NM202103_(231650C1/161505),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P190,Mchare,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot7,2021-03-29,,,,,,,,,,Arusha
NM202103_(231705C1/161602),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block2R2C5P50,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot132,2021-03-16,1.0,,,,,,,,,Arusha
NM202103_(231719C1/161578),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C2P133,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-29,,,,,,,,,,Arusha
NM202103_(231802C1/161536),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P292,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot123,2021-03-29,,,,,,,,,,Arusha
NM202103_(231826C1/161578),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block3R2C3P61,Mchare,1,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot122,2021-03-12,1.0,,,,,,,,,Arusha
NM202103_(231938C1/161460),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P286,Mchare,1,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot2,2021-03-19,,,,,,,,,,Arusha
NM202103_(231953C1/161499),2020NM_Pollination_Block_2b,2020PollinationBlock2b_Mchare_Block6R4C5P150,Mchare,1,SH 3217,Males_SH3217_r10c1_plot195,2021-03-17,2.0,,,,,,,,,Arusha
NM202104_(136322C2/161494),2016 NM_Pollination block,16NM_ITC1455-MchareMlelembo_plot374_r18c5,ITC1455-Mchare Mlelembo,2,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot8,2021-04-08,1.0,,,,,,,,,Arusha
NM202104_(136346C3/161405),2016 NM_Pollination block,16NM_Huti-white_plot129_r7c3,Huti-white,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2021-04-08,3.0,,,,,,,,,Arusha
NM202104_(136359C3/161405),2016 NM_Pollination block,16NM_Huti-white_plot135_r7c9,Huti-white,3,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2021-04-27,4.0,,,,,,,,,Arusha
NM202104_(136372C2/161405),2016 NM_Pollination block,16NM_Huti-white_plot181_r9c13,Huti-white,2,ITC0425 SH-3142,Males_ITCO425_SH3142_r7c1_plot127,2021-04-09,2.0,,,,,,,,,Arusha
NM202104_(136475C3/161494),2016 NM_Pollination block,16NM_ITC1460-IjihuInkundu_plot305_r15c11,ITC1460,3,ITC0249 Calcutta 4,Males__ITC0249_Calcutta4_r1c1_plot8,2021-04-27,2.0,,,,,,,,,Arusha
