FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
16NM_Huti-white_plot167r8c2,NM201902_(152708C1/136604),,,,,1
16NM_Huti-white_plot168r8c1,NM201903_(152431C1/161582),NM202002_(152431C2/161588),NM202102_(152431C/161554),,,3
16NM_Huti-white_plot169r9c1,NM201905_(152989C1/161503),NM202104_(152989C/161405),,,,2
16NM_Huti-white_plot170_r9c2,NM201905_(136613C2/161477),NM202002_(136613C3/161588),,,,2
16NM_Huti-white_plot170r9c2,NM201904_(152672C1/161554),,,,,1
16NM_Huti-white_plot171_r9c3,NM202003_(136512C2/161480),,,,,1
16NM_Huti-white_plot171r9c3,NM201911_(152579C1/161584),NM202101_(152579C2/161536),,,,2
16NM_Huti-white_plot180_r9c12,NM201812_(136402C2/161582),,,,,1
16NM_Huti-white_plot181_r9c13,NM202104_(136372C2/161405),,,,,1
16NM_Huti-white_plot183_r9c15,NM201812_(136501C2/161584),NM202001_(136501C3/161562),NM202102_(136501C3/161536),,,3
16NM_Huti-white_plot187_r9c19,NM201810_(136588C2/136460),NM201911_(136588C3/161480),NM202103_(136588C3/161554),,,3
16NM_Huti-white_plot188_r9c20,NM201909_(136456C2/161584),,,,,1
16NM_Huti-white_plot188r9c20,NM201903_(152941C1/161424),,,,,1
16NM_Huti-white_plot189_r9c21,NM201901_(136426C2/161584),NM202002_(136426C3/161446),,,,2
16NM_Huti-white_plot189r9c21,NM201903_(152495C1/161582),NM201911_(152495C2/161500),NM202009_(152495C2/161578),,,3
16NM_Huti-white_plot190r10c21,NM201901_(153009C1/161584),NM201910_(153009C2/161541),NM202102_(153009C2/161441),,,3
16NM_Huti-white_plot191r10c20,NM201903_(152645C1/161582),,,,,1
16NM_Huti-white_plot192r10c19,NM201902_(152746C1/161541),NM202006_(152746C2/161536),,,,2
16NM_Huti-white_plot19r1c19,NM201812_(153130C1/161584),,,,,1
16NM_Huti-white_plot1r1c1,NM201912_(152532C1/161554),,,,,1
16NM_Huti-white_plot208r10c3,NM201909_(152808C1/161480),NM202009_(152808C2/136677),,,,2
16NM_Huti-white_plot209r10c2,NM201809_(153086C1/161582),NM201910_(153086C2/161480),NM202010_(153086C2/161412),,,3
16NM_Huti-white_plot210r10c1,NM201901_(153120C1/161503),NM201912_(153120C2/161555),NM202102_(153120C/161460),,,3
16NM_Huti-white_plot211r11c1,NM201812_(152405C1/161554),NM201911_(152405C2/161421),NM202009_(152405C2/161571),,,3
16NM_Huti-white_plot212r11c2,NM201905_(152655C1/161503),NM202002_(152655C2/161489),,,,2
16NM_Huti-white_plot213r11c3,NM201906_(152568C1/161503),,,,,1
16NM_Huti-white_plot21r1c21,NM202101_(152466C1/161536),,,,,1
16NM_Huti-white_plot229r11c19,NM201910_(152933C1/161480),,,,,1
16NM_Huti-white_plot230r11c20,NM201907_(152901C1/161500),,,,,1
16NM_Huti-white_plot231r11c21,NM201904_(153016C1/161582),NM202001_(153016C2/161480),NM202010_(153016C2/161477),,,3
16NM_Huti-white_plot232r12c21,NM201903_(152697C1/161582),NM201903_(152697C2/161582),NM202007_(152697C2/161433),,,3
16NM_Huti-white_plot233r12c20,NM201904_(152793C1/161582),,,,,1
16NM_Huti-white_plot234r12c19,NM201902_(152443C1/161477),,,,,1
