PlantletID,Copies,Subculture_Date,Location
NM201810_(136564C2/136460)_10,1.0,2019-04-03,Arusha
NM201810_(136564C2/136460)_9,1.0,2019-04-03,Arusha
NM201807_498_1,1.0,2019-06-03,Arusha
NM201807_477_1,2.0,2019-06-03,Arusha
NM201808_531_2,2.0,2019-06-03,Arusha
NM201806_450_3,5.0,2019-06-03,Arusha
NM201806_469_1,1.0,2019-06-03,Arusha
NM201809_(136371C2/136328)_1,1.0,2019-06-03,Arusha
NM201806_450_1,5.0,2019-07-15,Arusha
NM201809_538_61,8.0,2020-04-17,Arusha
NM201809_538_61,4.0,2020-01-06,Arusha
NM201809_538,10.0,2020-02-05,Arusha
NM201806_456_1,9.0,2020-05-05,Arusha
NM201807_(136670C2/136460)_1,2.0,2020-06-16,Arusha
NM201807_(136670C2/136460)_2,2.0,2020-05-06,Arusha
NM201811_(136627C2/136460)_1,5.0,2020-05-18,Arusha
NM201808_530_4,4.0,2020-05-18,Arusha
NM201902_(152842C1/161541)_23,4.0,2019-10-25,Arusha
NM201901_(153120C1/161503)_1,20.0,2019-10-23,Arusha
NM201901_(153017C1/161564)_1,20.0,2019-10-24,Arusha
NM201902_(152457C1/161477)_8,8.0,2019-11-20,Arusha
NM201902_(152457C1/161477)_7,8.0,2019-11-20,Arusha
NM201902_(136350C2/161541)_5,9.0,2019-11-27,Arusha
NM201901_(153009C1/161584)_1,9.0,2019-11-28,Arusha
NM201901_(136339C2/136706)_1,9.0,2019-10-22,Arusha
NM201812_(136304C2/136510)_2,15.0,2019-10-23,Arusha
NM201902_(152842C1/161541)_9,9.0,2019-10-24,Arusha
NM201904_(136408C3/161582)_3,12.0,2019-11-20,Arusha
NM201901_(136339C2/136706)_1,9.0,2019-10-23,Arusha
NM201812_(136304C2/136510)_5,9.0,2019-10-23,Arusha
NM201902_(152842C1/161541)_12,2.0,2019-11-20,Arusha
NM201901_(153120C1/161503)_23,20.0,2020-06-17,Arusha
NM201902_(152457C1/161477)_1,8.0,2020-07-17,Arusha
NM201904_(152644C1/161582)_7,12.0,2020-02-11,Arusha
NM201902_(136350C2/161541)_5,9.0,2020-05-29,Arusha
NM201902_(152842C1/161541)_23,25.0,2019-11-07,Arusha
NM201904_(153101C1/161503)_5,9.0,2020-09-23,Arusha
NM201902_(152499C1/161582)_6,20.0,2020-09-23,Arusha
NM201904_(152779C1/161582)_29,40.0,2020-09-23,Arusha
NM275,2.0,2021-01-01,Arusha
NM201805_411_1,3.0,2019-10-10,Arusha
NM201807_503_1,1.0,2019-10-10,Arusha
NM201810_(136564C2/136460)_8,22.0,2019-10-21,Arusha
NM201810_(136679C2/136653)_4,4.0,2019-10-14,Arusha
NM201807_495_3,1.0,2019-10-10,Arusha
NM201810_(136507C2/161548)_23,1.0,2019-10-10,Arusha
NM201810_(136376C2/136460)_4,2.0,2019-11-10,Arusha
NM201810_(136376C2/136460)_4,2.0,2019-10-10,Arusha
NM201810_(136564C2/136460)_8,1.0,2019-10-10,Arusha
NM201810_(136376C2/136460)_3,4.0,2019-10-10,Arusha
NM201810_(136507C2/161548)_56,3.0,2019-10-10,Arusha
NM201810_(136507C2/161548)_46,9.0,2019-10-10,Arusha
NM201809_538_47,13.0,2019-11-08,Arusha
NM201810_(136376C2/136460)_5,3.0,2019-10-10,Arusha
NM201808_530_6,1.0,2019-10-11,Arusha
NM201810_(136507C2/161548)_40,6.0,2019-10-10,Arusha
NM201810_(136507C2/161548)_40,7.0,2019-10-10,Arusha
NM201810_(136507C2/161548)_55,3.0,2019-10-10,Arusha
NM201810_(136376C2/136460)_7,2.0,2019-10-10,Arusha
NM201810_(136564C2/136460)_8,10.0,2019-10-15,Arusha
NM201810_(136376C2/136460)_12,14.0,2019-10-11,Arusha
NM201810_(136564C2/136460)_8,22.0,2019-11-04,Arusha
NM201810_(136679C2/136653)_4,4.0,2019-11-04,Arusha
NM201807_495_3,1.0,2019-11-04,Arusha
NM201805_411_1,3.0,2019-11-04,Arusha
NM201807_503_1,1.0,2019-11-04,Arusha
NM201810_(136507C2/161548)_23,1.0,2019-11-04,Arusha
NM201810_(136376C2/136460)_4,2.0,2019-11-04,Arusha
NM201810_(136564C2/136460)_8,1.0,2019-11-04,Arusha
NM201810_(136376C2/136460)_3,4.0,2019-11-04,Arusha
NM201810_(136507C2/161548)_56,2.0,2019-11-04,Arusha
NM201810_(136507C2/161548)_46,9.0,2019-11-04,Arusha
NM201809_538_47,13.0,2019-11-04,Arusha
NM201810_(136376C2/136460)_5,3.0,2019-11-04,Arusha
NM201808_530_6,1.0,2019-11-04,Arusha
NM201810_(136376C2/136460)_7,2.0,2019-11-04,Arusha
NM201810_(136564C2/136460)_8,10.0,2019-11-04,Arusha
NM201810_(136376C2/136460)_12,14.0,2019-09-10,Arusha
NM201807_503_1,1.0,2020-10-28,Arusha
NM201904_(152648C1/161582)_3,9.0,2019-12-05,Arusha
NM201909_(152425C1/161503)_5,5.0,2019-11-05,Arusha
NM201909_(152425C1/161503)_7,4.0,2019-12-05,Arusha
NM201909_(152425C1/161503)_2,3.0,2019-12-05,Arusha
NM201909_(152425C1/161503)_3,10.0,2019-12-05,Arusha
NM201903_(152450C1/161564)_10,7.0,2019-12-05,Arusha
NM201903_(152486C1/161424)_1,5.0,2019-12-05,Arusha
NM201904_(152648C1/161582)_3,9.0,2019-05-13,Arusha
NM201809_538_64,14.0,2019-10-12,Arusha
NM201809_538_57,7.0,2019-10-12,Arusha
NM201810_(136507C2/161548)_29,10.0,2019-10-12,Arusha
NM201810_(136564C2/136460)_6,6.0,2019-10-12,Arusha
