FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,number_crosses
401K-1-R-5--C-40,SE202101_(243595C1/242999),,,1
401K-1-R-5--C-41,SE202011_(243668C1/242999),,,1
401K-1-R-5--C-63,KA202105_(243466C2/242999),SE202011_(243466C1/242999),,2
401K-1-R-6--C-2,SE202011_(242986C1/242839),,,1
401K-1-R-6--C-38,SE202010_(243357C1/243057),,,1
401K-1-R-6--C-39,SE202102_(243507C1/242999),,,1
401K-1-R-6--C-4,SE202010_(242968C1/242859),,,1
401K-1-R-6--C-40,SE202010_(243766C1/242999),,,1
401K-1-R-6--C-5,SE202010_(243062C1/242864),,,1
401K-1-R-6--C-62,KA202105_(243658C1/242999),,,1
401K-1-R-6--C-63,SE202010_(243588C1/242999),,,1
401K-1-R-7--C-1,SE202009_(243017C1/243063),,,1
401K-1-R-7--C-4,SE202011_(243025C1/243074),SE202011_(243025C2/243074),,2
401K-1-R-7--C-41,SE202011_(243853C1/242999),,,1
401K-1-R-7--C-62,SE202011_(243690C1/242999),,,1
401K-1-R-8--C-38,SE202101_(243454C1/242999),,,1
401K-1-R-8--C-40,SE202101_(243592C1/242999),,,1
401K-1-R-8--C-61,SE202012_(243701C1/242999),SE202101_(243701C2/242999),,2
401K-1-R-8--C-62,SE202010_(243498C1/242999),SE202101_(243498C2/242999),,2
401K-1-R-8--C-7,SE202011_(242902C1/242839),,,1
401K-1-R-9--C-4,SE202011_(242955C1/242839),,,1
401K-1-R-9--C-5,SE202102_(243034C1/243074),,,1
401K-1-R-9--C-6,SE202009_(243035C1/242850),SE202009_(243035C2/242864),,2
401K-1-r1-c25,KA202104_(244135C1/242999),,,1
401K-1-r1-c28,SE202101_(244152C1/242999),,,1
401K-1-r2-c26,SE202011_(243893C1/242999),,,1
401K-1-r2-c28,SE202009_(244084C1/242999),,,1
401K-1-r3-c27,SE202010_(244324C1/242999),,,1
401K-1-r4-c25,SE202012_(244313C1/243057),,,1
401K-1-r4-c26,SE202101_(244408C1/243057),,,1
401K-1-r4-c28,SE202101_(244289C1/243057),,,1
401K-1-r5-c25,SE202011_(244193C1/242999),SE202012_(244193C2/242999),,2
401K-1-r5-c26,SE202012_(244262C1/243057),,,1
401K-1-r6-c26,SE202010_(244173C1/242999),SE202101_(244173C2/243057),,2
401K-1-r6-c27,SE202010_(243965C1/242999),,,1
401K-1-r7-c25,SE202011_(244308C1/242999),,,1
401K-1-r7-c26,SE202009_(244093C1/242999),,,1
401K-1-r7-c27,SE202102_(244041C1/242999),,,1
401K-1-r7-c28,SE202009_(244131C1/242999),,,1
660K-1-R-1--C-11,SE202009_(242863C1/242841),,,1
660K-1-R-1--C-12,SE202011_(242933C1/242845),,,1
660K-1-R-1--C-13,SE202010_(242828C1/242990),,,1
660K-1-R-1--C-14,SE202011_(242905C1/242977),,,1
660K-1-R-1--C-36,SE202009_(243452C1/243057),SE202012_(243452C2/243057),,2
660K-1-R-1--C-37,KA202105_(243822C2/242999),SE202010_(243822C1/243057),,2
660K-1-R-1--C-8,SE202009_(242962C1/242841),,,1
660K-1-R-1--C-9,SE202010_(242960C1/243051),,,1
660K-1-R-2--C-10,SE202011_(243049C1/243029),,,1
660K-1-R-3--C-10,SE202011_(242916C1/243074),,,1
660K-1-R-3--C-36,SE202010_(243365C1/243057),,,1
660K-1-R-3--C-37,SE202011_(243754C1/242999),SE202011_(243754C2/242999),,2
660K-1-R-3--C-8,SE202101_(242887C1/242915),,,1
660K-1-R-4--C-11,SE202101_(242830C1/242879),,,1
660K-1-R-4--C-36,KA202105_(243367C2/242999),SE202101_(243367C1/242999),,2
660K-1-R-4--C-9,SE202011_(242834C1/242977),,,1
660K-1-R-5--C-36,SE202010_(243630C1/243057),,,1
660K-1-R-6--C-37,SE202102_(243536C1/242999),,,1
660K-1-R-7--C-37,SE202011_(243649C1/243057),,,1
660K-1-R-8--C-36,SE202012_(243733C1/242999),,,1
660K-1-r1-c5,SE202009_(244029C1/242999),,,1
660K-1-r1-c7,SE202012_(243923C1/243057),,,1
660K-1-r1-c8,SE202011_(243960C1/243057),,,1
660K-1-r4-c5,KA202104_(244115C1/242999),,,1
660K-1-r4-c8,SE202102_(244134C1/242999),,,1
660K-1-r5-c6,SE202009_(244329C1/242999),,,1
660K-1-r5-c8,SE202102_(243956C1/243057),,,1
660K-1-r6-c8,SE202012_(243995C1/242999),,,1
660K-1-r7-c8,SE202102_(244241C1/242999),,,1
917K-1-R-1--C-3,SE202010_(242953C1/242990),,,1
917K-1-R-1--C-5,SE202010_(242895C1/242864),,,1
917K-1-R-2--C-1,SE202102_(242943C1/243074),,,1
917K-1-R-2--C-7,SE202011_(242843C1/242977),,,1
917K-1-R-3--C-4,KA202105_(242899C2/242845),SE202010_(242899C1/242864),,2
917K-1-R-3--C-7,SE202010_(242987C1/242859),,,1
