Location,Crossnumber,TrialName,FemalePlotName,FemaleGenotype,Cycle,MaleGenotype,MalePlotName,First Pollination Date,Number of Repeats,Bunch Harvest Date,Seed Extraction Date,Total Seeds,Good Seeds,Embryo Rescue Date,Number of Embryo Rescued,Number of Embryo Germinating,Germination Date,FemalePloidy,FemaleLink,MalePloidy,MaleLink
Arusha,NM201805_(136718C2/136460),NA,136718,ITC1468-kahuti,2,ITC0712-Aacv_Rose,136460,2018-05-18,3,2018-11-19,2018-11-26,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201805_402,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot84r4c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-01,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_407,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot631r31c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-08,NA,2018-10-22,2018-11-07,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_408,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot43r3c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-09,NA,2018-10-22,2018-10-29,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_410,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot294r14c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-09,NA,2018-10-31,2018-11-07,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_411,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot715r35c1,Huti white,NA,ITC0249-Calcutta 4,NA,2018-05-09,NA,2018-10-22,2018-11-01,1,1,2018-12-05,1,1,2019-02-12,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM201805_412,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot253r13c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-14,NA,2018-10-22,2018-11-01,1,0,2018-11-13,0,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_413,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot462r22c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-14,NA,2018-10-22,2018-10-25,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_414,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot798r38c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-14,NA,2018-10-22,2018-10-29,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_421,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot295r15c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-17,NA,2018-10-31,2018-11-09,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_422,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot587r28c2,Huti white,NA,ITC0253-Borneo,NA,2018-05-18,NA,2018-12-04,2018-12-13,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123372/view>view</a>
Arusha,NM201805_428,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot126r6c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-22,NA,2018-11-08,2018-11-15,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_429,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot169r9c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-22,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_432,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot168r8c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-25,NA,2018-12-04,2018-12-13,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_433,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot210r10c1,Huti white,NA,ITC0249-Calcutta 4,NA,2018-05-25,NA,2018-10-31,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM201805_436,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot629r30c2,Huti white,NA,ITC0425-SH-3142,NA,2018-05-25,NA,2018-10-31,2018-11-07,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_438,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot251r12c2,Huti white,NA,ITC0425-SH-3142,NA,2018-05-30,NA,2018-10-31,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_451,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot547r27c1,Huti white,NA,ITC0249-Calcutta 4,NA,2018-05-06,NA,2018-10-22,2018-10-25,3,2,2018-12-05,2,2,2019-02-12,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM201805_453,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot588r28c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-08,NA,2018-11-19,2018-11-30,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201805_455,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot211r11c1,Huti white,NA,ITC0425-SH-3142,NA,2018-05-13,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_(136314C2/136357),2016 NM_Pollination block,136314,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136357,2018-06-29,3,2018-11-21,2018-12-13,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201806_(136351C2/136460),2016 NM_Pollination block,136351,Mchare Laini,2,ITC0712-Aacv_Rose,136460,2018-06-12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201806_(136378C2/136653),2016 NM_Pollination block,136378,ITC1468-kahuti,2,ITC0609-Pahang,136653,2018-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201806_(136380C2/136357),2016 NM_Pollination block,136380,ITC1455-Mchare Mlelembo,2,ITC0609-Pahang,136357,2018-06-06,6,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201806_(136518C2/136510),2016 NM_Pollination block,136518,ITC1468-kahuti,2,ITC0609-Pahang,136510,2018-06-26,5,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201806_(136523C3/136460),2016 NM_Pollination block,136523,ITC1468-kahuti,3,ITC0712-Aacv_Rose,136460,2018-06-12,3,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201806_(136567C2/136510),2016 NM_Pollination block,136567,ITC1468-kahuti,2,ITC0609-Pahang,136510,2018-06-26,5,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201806_(136634C2/136599),2016 NM_Pollination block,136634,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136599,2018-06-26,5,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201806_442,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot86r5c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-01,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_443,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot546r26c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-01,NA,2018-10-29,2018-11-07,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_447,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot337r17c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-04,NA,2018-11-19,2018-11-30,2,2,2018-12-05,2,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_448,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot504r24c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-04,NA,2018-11-08,2018-11-16,2,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_450,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot548r27c2,Huti white,NA,ITC0712-Aacv_Rose,NA,2018-06-05,NA,2018-11-19,2018-11-30,12,8,2018-12-05,8,4,2019-01-02,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201806_456,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot422r21c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-18,NA,2018-12-04,2018-12-13,12,3,2019-01-11,3,1,2019-03-13,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_461,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot41r2c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-20,NA,2018-11-08,2018-11-14,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_462,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot335r16c2,Huti white,NA,ITC0249-Calcutta 4,NA,2018-06-20,NA,2018-12-07,2018-12-13,20,14,2019-01-11,14,3,2019-01-28,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM201806_468,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot756r36c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-22,NA,2018-12-04,2018-12-13,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_469,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot336r16c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-22,NA,2019-01-03,2019-01-09,2,1,2019-01-11,1,1,2019-02-12,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_470,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot630r30c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-26,NA,2018-12-12,2018-12-20,2,0,2019-01-11,0,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_471,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot671r32c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-26,NA,2019-01-02,2019-01-09,2,1,2019-01-11,1,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_472,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot545r26c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-26,NA,2018-12-12,2018-12-20,3,0,2019-01-11,0,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_473,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot757r37c1,Huti white,NA,ITC0249-Calcutta 4,NA,2018-06-26,NA,2018-12-04,2018-12-13,3,2,2019-01-11,2,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,NA
Arusha,NM201806_474,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot85r5c1,Huti white,NA,ITC0425-SH-3142,NA,2018-06-29,NA,2018-12-03,2018-12-13,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_475,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot254r13c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201806_476,2017_Mcharepollinationblock2_NM,16NM_Huti-white_plot419r20c2,Huti white,NA,ITC0425-SH-3142,NA,2018-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,NA,<a  target=_blank href=https://musabase.org/stock/123375/view>view</a>
Arusha,NM201807_(136331C2/136460),2016 NM_Pollination block,136331,ITC1455-Mchare Mlelembo,2,ITC0712-Aacv_Rose,136460,2018-07-10,3,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Arusha,NM201807_(136360C2/136357),2016 NM_Pollination block,136360,ITC1468-kahuti,2,ITC0609-Pahang,136357,2018-07-31,4,2018-12-10,2019-01-02,0,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201807_(136388C2/136357),2016 NM_Pollination block,136388,ITC1468-kahuti,2,ITC0609-Pahang,136357,2018-07-05,5,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201807_(136478C2/136357),2016 NM_Pollination block,136478,Mchare Laini,2,ITC0609-Pahang,136357,2018-07-20,6,2019-01-12,2019-01-21,6,5,2019-01-28,5,2,2019-02-12,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Arusha,NM201807_(136534C2/136357),2016 NM_Pollination block,136534,Mchare Laini,2,ITC0609-Pahang,136357,2018-07-04,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
