FemaleGenotype,MaleGenotype,Female_Ploidy,Male_Ploidy,Female_Link,Male_Link
Nakasabira,Nakasabira,3X,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>
ITC1355-Kazirakwe,ITC1355-Kazirakwe,3x,3x,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>
ITC1355-Kazirakwe,ITC1355-Kazirakwe,3X,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>
Tereza,Tereza,3X,3X,<a  target=_blank href=https://musabase.org/stock/65451/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65451/view>view</a>
25974S-17,25974S-17,NA,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>
29275S-4,29275S-4,NA,NA,<a  target=_blank href=https://musabase.org/stock/65839/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65839/view>view</a>
02145/1320,02145/1320,2X,2X,<a  target=_blank href=https://musabase.org/stock/65419/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65419/view>view</a>
ITC0609-Pahang,ITC0609-Pahang,2X,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
ITC0609-Pahang,ITC0609-Pahang,2x,2x,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
ITC0299-guyod,ITC0299-guyod,2x,2x,<a  target=_blank href=https://musabase.org/stock/65874/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65874/view>view</a>
Kisukari Mchare,Kisukari Mchare,NA,NA,<a  target=_blank href=https://musabase.org/stock/65048/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65048/view>view</a>
SH3142,SH3142,NA,NA,<a  target=_blank href=https://musabase.org/stock/150796/view>view</a>,<a  target=_blank href=https://musabase.org/stock/150796/view>view</a>
ITC0085-Nakitengwa,ITC0085-Nakitengwa,3x,3x,<a  target=_blank href=https://musabase.org/stock/179837/view>view</a>,<a  target=_blank href=https://musabase.org/stock/179837/view>view</a>
ITC1564-Mlali,ITC1564-Mlali,3x,3x,<a  target=_blank href=https://musabase.org/stock/180204/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180204/view>view</a>
ITC1252-Datil,ITC1252-Datil,2x,2x,<a  target=_blank href=https://musabase.org/stock/180155/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180155/view>view</a>
ITC0600-Waimara,ITC0600-Waimara,2x,2x,<a  target=_blank href=https://musabase.org/stock/123378/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123378/view>view</a>
ITC0712-Aacv_Rose,ITC0712-Aacv_Rose,2X,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
ITC0774-Yenai,ITC0774-Yenai,2x,2x,<a  target=_blank href=https://musabase.org/stock/180039/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180039/view>view</a>
TMB2X9128-3,TMB2X9128-3,2X,2X,<a  target=_blank href=https://musabase.org/stock/65933/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65933/view>view</a>
ILALYI,ILALYI,NA,NA,<a  target=_blank href=https://musabase.org/stock/203646/view>view</a>,<a  target=_blank href=https://musabase.org/stock/203646/view>view</a>
ITC1466-Nshonowa,ITC1466-Nshonowa,2x,2x,<a  target=_blank href=https://musabase.org/stock/180196/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180196/view>view</a>
ITC0090-Tjau_Lagada,ITC0090-Tjau_Lagada,2x,2x,<a  target=_blank href=https://musabase.org/stock/179838/view>view</a>,<a  target=_blank href=https://musabase.org/stock/179838/view>view</a>
ITC0943-Kwaro,ITC0943-Kwaro,2x,2x,<a  target=_blank href=https://musabase.org/stock/123369/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123369/view>view</a>
ITC0281-Akondro_Mainty,ITC0281-Akondro_Mainty,2x,2x,<a  target=_blank href=https://musabase.org/stock/163411/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163411/view>view</a>
ITC1559-Huti_green_bell,ITC1559-Huti_green_bell,2x,2x,<a  target=_blank href=https://musabase.org/stock/163415/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163415/view>view</a>
ITC0253-Borneo,ITC0253-Borneo,2x,2x,<a  target=_blank href=https://musabase.org/stock/123372/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123372/view>view</a>
SH 3217,SH 3217,NA,NA,<a  target=_blank href=https://musabase.org/stock/123383/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123383/view>view</a>
SH 3362,SH 3362,2X,2X,<a  target=_blank href=https://musabase.org/stock/65194/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65194/view>view</a>
2905,2905,2X,2X,<a  target=_blank href=https://musabase.org/stock/65433/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65433/view>view</a>
402,402,NA,NA,<a  target=_blank href=https://musabase.org/stock/190066/view>view</a>,<a  target=_blank href=https://musabase.org/stock/190066/view>view</a>
716,716,NA,NA,<a  target=_blank href=https://musabase.org/stock/190067/view>view</a>,<a  target=_blank href=https://musabase.org/stock/190067/view>view</a>
AG201087-4,AG201087-4,2X,2X,<a  target=_blank href=https://musabase.org/stock/65438/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65438/view>view</a>
8075-7,8075-7,NA,NA,<a  target=_blank href=https://musabase.org/stock/65191/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65191/view>view</a>
