germplasmDbId,germplasmName,synonyms,germplasmPUI
65433,2905,NA,
190066,402,NA,https://musabase.org/stock/190066/view
190067,716,NA,https://musabase.org/stock/190067/view
65438,AG201087-4,NA,
65191,8075-7,8075_7,https://musabase.org/stock/65191/view
65418,10969S-1,10969s-1,
65847,7197-2,7197_2,https://musabase.org/stock/65847/view
65437,SH3362,NA,
65416,TMB2X5265-1,5265-1,
123384,SH3217,NA,https://musabase.org/stock/123384/view
65193,9128-3,9128_3,https://musabase.org/stock/65193/view
150791,Malaccensis,NA,https://musabase.org/stock/150791/view
